iter	Logloss
0	0.6892479833
1	0.6860144451
2	0.6845851532
3	0.6810379432
4	0.6790629159
5	0.67699357
6	0.6745007234
7	0.6715663927
8	0.6692563365
9	0.6670714198
10	0.6656200651
11	0.6635792677
12	0.6609179762
13	0.6583608225
14	0.6565608801
15	0.6535638566
16	0.651273448
17	0.6476491506
18	0.6459079542
19	0.6435615081
20	0.6407024191
21	0.6391160872
22	0.6365665486
23	0.6336649894
24	0.6311457618
25	0.6294255377
26	0.6281689419
27	0.6250211341
28	0.6222468873
29	0.6213941052
30	0.6204408132
31	0.6179776114
32	0.6163317177
33	0.6146045059
34	0.6138537064
35	0.6113501861
36	0.6098391195
37	0.6086097534
38	0.6073913432
39	0.6065126349
40	0.6049111432
41	0.6033565666
42	0.6012522822
43	0.598985195
44	0.5977690094
45	0.5965303679
46	0.5945173656
47	0.5927972844
48	0.5912212578
49	0.5897560044
50	0.587321008
51	0.586004312
52	0.5847621032
53	0.5826043527
54	0.5814415059
55	0.5803840945
56	0.5787055837
57	0.5757462521
58	0.5740372523
59	0.5723573961
60	0.5715454931
61	0.5691366747
62	0.5668112685
63	0.5652422312
64	0.5638553994
65	0.5629384663
66	0.5608670929
67	0.5596658898
68	0.5588935195
69	0.5567912079
70	0.555738323
71	0.5552631963
72	0.5530638662
73	0.5513654103
74	0.5510005843
75	0.5502389739
76	0.5481967236
77	0.5467134613
78	0.5465930907
79	0.5453208362
80	0.5439286916
81	0.5436183265
82	0.542041689
83	0.5394806938
84	0.5383791826
85	0.5368102164
86	0.5362795653
87	0.5356501632
88	0.5336070243
89	0.5324232569
90	0.5316978953
91	0.5308999715
92	0.5287756791
93	0.5260303493
94	0.5246783502
95	0.5237404018
96	0.5226835023
97	0.520929658
98	0.5201995246
99	0.5188473805
100	0.5170122146
101	0.5154332118
102	0.5145838256
103	0.513299616
104	0.5119817109
105	0.5096688232
106	0.5084254986
107	0.5078772662
108	0.5060487526
109	0.5041264444
110	0.5018894663
111	0.5006741394
112	0.4998977516
113	0.4998847178
114	0.4978994121
115	0.4953034048
116	0.493832265
117	0.4929668299
118	0.492268089
119	0.4919035971
120	0.4895935015
121	0.4889912526
122	0.4883765669
123	0.4869339757
124	0.4845382852
125	0.4837760848
126	0.4829768591
127	0.4814529261
128	0.4795173963
129	0.4772981498
130	0.4767068397
131	0.4733532815
132	0.4725191469
133	0.4716229945
134	0.4708420139
135	0.470136487
136	0.4688086017
137	0.4686302605
138	0.4684925237
139	0.4678572262
140	0.4653543
141	0.4644352269
142	0.4635298403
143	0.4625778019
144	0.461628623
145	0.4603396069
146	0.4579969813
147	0.4561165486
148	0.4551256544
149	0.4535975474
150	0.452346981
151	0.4520663985
152	0.4510482401
153	0.4507117753
154	0.4495563157
155	0.4486017826
156	0.4466925762
157	0.4451011526
158	0.4432321981
159	0.4417049257
160	0.4395657325
161	0.4369118212
162	0.4362357283
163	0.435779916
164	0.43435521
165	0.4331580311
166	0.4314766414
167	0.4308151047
168	0.4300507424
169	0.4277087872
170	0.4271743044
171	0.425238934
172	0.4237232203
173	0.4224654659
174	0.4224397302
175	0.4205334633
176	0.4199584212
177	0.4196598282
178	0.4180145469
179	0.4162800513
180	0.4147561469
181	0.4145486846
182	0.4136819768
183	0.4126299518
184	0.4113247572
185	0.4089367929
186	0.4085515623
187	0.4075786896
188	0.4069562363
189	0.40647208
190	0.4052684479
191	0.4043752914
192	0.4038736526
193	0.4030932426
194	0.4007716389
195	0.4004820984
196	0.3998024112
197	0.3984888962
198	0.3972217655
199	0.3960862471
200	0.3951275908
201	0.3943670512
202	0.3925916292
203	0.3913522134
204	0.3901553837
205	0.3892046324
206	0.388426813
207	0.3880987618
208	0.3860795653
209	0.3854616118
210	0.3848303095
211	0.3834107727
212	0.3820711718
213	0.3815103931
214	0.3807927143
215	0.3800807914
216	0.3786883106
217	0.3779276277
218	0.3771742015
219	0.3751811899
220	0.3743034692
221	0.3728860387
222	0.372100941
223	0.3714069188
224	0.3703086431
225	0.3698308571
226	0.3687948162
227	0.3680145169
228	0.3658040413
229	0.3653766723
230	0.3647714536
231	0.3638116717
232	0.3630379324
233	0.3630162139
234	0.36245284
235	0.3619851081
236	0.3612623987
237	0.3597169964
238	0.3589273028
239	0.3586025708
240	0.3579645993
241	0.3563903092
242	0.3556776083
243	0.3547138639
244	0.3540898209
245	0.3531205521
246	0.3523119104
247	0.3514955084
248	0.3505023805
249	0.3496499302
250	0.3490897087
251	0.3483599192
252	0.3472900322
253	0.3466072851
254	0.3465262723
255	0.3440682603
256	0.3425751167
257	0.3416851714
258	0.3405670354
259	0.3389895411
260	0.3384225665
261	0.3370739995
262	0.3360155868
263	0.3337956222
264	0.3332537723
265	0.3323860498
266	0.3320168229
267	0.3302730873
268	0.3293932514
269	0.32841453
270	0.326602955
271	0.3260635668
272	0.3255671601
273	0.3249712326
274	0.3236744303
275	0.3224969478
276	0.3215707663
277	0.320917659
278	0.3198223795
279	0.3192250836
280	0.318237598
281	0.317629002
282	0.3168957425
283	0.3166084077
284	0.3159871887
285	0.3154653553
286	0.3147821743
287	0.3136933421
288	0.3131902093
289	0.3115180112
290	0.3105370269
291	0.3097233099
292	0.3089448393
293	0.3084725202
294	0.305956904
295	0.3050510331
296	0.3041127912
297	0.3023014337
298	0.3018358685
299	0.3009093215
300	0.3002696785
301	0.2994377391
302	0.298393246
303	0.2976466934
304	0.2962346748
305	0.2948841974
306	0.2939857529
307	0.2933470522
308	0.2923106025
309	0.291883932
310	0.2907501022
311	0.2889860587
312	0.2876480292
313	0.286595961
314	0.285382838
315	0.2847635762
316	0.2833853516
317	0.2831187231
318	0.2826977557
319	0.2819673134
320	0.2811795854
321	0.2797656818
322	0.2786292139
323	0.2781692045
324	0.2775454553
325	0.2764148413
326	0.2753670086
327	0.2748897818
328	0.274553888
329	0.2740762625
330	0.2735638213
331	0.273165176
332	0.272609885
333	0.2717079896
334	0.2713519977
335	0.2710891866
336	0.2701871536
337	0.2695441834
338	0.2687485522
339	0.2682726076
340	0.2677110371
341	0.2667208074
342	0.2654101491
343	0.2649759989
344	0.2640739417
345	0.2634079204
346	0.2621273405
347	0.2612380789
348	0.2607930954
349	0.2601467359
350	0.2591815706
351	0.2587629367
352	0.2582494152
353	0.2574740038
354	0.256557779
355	0.2557556296
356	0.2548481165
357	0.2545105663
358	0.2529806808
359	0.2525751478
360	0.251951505
361	0.2505328089
362	0.2498571045
363	0.2496749937
364	0.249292193
365	0.2490794792
366	0.2478102495
367	0.2476502581
368	0.246068243
369	0.2456526484
370	0.2449532605
371	0.243956523
372	0.243916674
373	0.2430561607
374	0.2422923762
375	0.2418118039
376	0.2412132408
377	0.2404532997
378	0.2395595516
379	0.2391880718
380	0.2389469709
381	0.2381255479
382	0.2373859369
