iter	RMSE
0	0.6615014205
1	0.6589295777
2	0.6561847877
3	0.6532372214
4	0.6499067201
5	0.6478597722
6	0.6443210816
7	0.6413394624
8	0.6392290089
9	0.6359285839
10	0.6331588185
11	0.6307254806
12	0.627955524
13	0.625461277
14	0.6230668046
15	0.6203198365
16	0.6180804221
17	0.6144234983
18	0.6112289665
19	0.6086641668
20	0.6065102867
21	0.6039698871
22	0.601332485
23	0.5994482372
24	0.5967763018
25	0.5944070522
26	0.5920323199
27	0.590126814
28	0.5882899831
29	0.5862739769
30	0.5840540397
31	0.5827804419
32	0.5806008262
33	0.5784818828
34	0.5769170406
35	0.5748032604
36	0.571910237
37	0.5703907593
38	0.5676732493
39	0.566185999
40	0.5644523643
41	0.5628471993
42	0.5610122147
43	0.5592852269
44	0.557848678
45	0.555741293
46	0.5533540473
47	0.5519095529
48	0.5493799513
49	0.5477825719
50	0.5457281144
51	0.5438547705
52	0.5418790311
53	0.5396931333
54	0.5377983744
55	0.536406573
56	0.5357177483
57	0.5346888194
58	0.5326719476
59	0.5304543418
60	0.5288681519
61	0.5269296867
62	0.5245905373
63	0.5230764422
64	0.5212686517
65	0.5191538079
66	0.5181630586
67	0.5166819234
68	0.5149358904
69	0.5125609754
70	0.510976569
71	0.5090086654
72	0.5070233283
73	0.5057622056
74	0.5045526745
75	0.5029482695
76	0.5010889021
77	0.4996001322
78	0.4982423514
79	0.4967098555
80	0.4952451599
81	0.4937462519
82	0.4923740595
83	0.490181881
84	0.4883393336
85	0.4875326675
86	0.4865392646
87	0.4852023477
88	0.4836870597
89	0.4821017281
90	0.4811117952
91	0.4799773676
92	0.4779474382
93	0.477548784
94	0.476565184
95	0.475522495
96	0.4740844454
97	0.4731492652
98	0.4713566868
99	0.4697351194
100	0.4679956261
101	0.4670675784
102	0.4655113223
103	0.4640874858
104	0.4632749214
105	0.4612673288
106	0.4600193597
107	0.4590249185
108	0.4579319685
109	0.4564710112
110	0.4552561437
111	0.4543157435
112	0.4531845975
113	0.4523833936
114	0.4507697058
115	0.4503345877
116	0.4495429341
117	0.4476712276
118	0.4464969095
119	0.4456698469
120	0.4441450467
121	0.4435372492
122	0.4430695596
123	0.4416991456
124	0.4404312923
125	0.4395902092
126	0.4383359031
127	0.4372339705
128	0.4355536626
129	0.43464771
130	0.4329818532
131	0.4314678734
132	0.4304984298
133	0.4293306635
134	0.4288086835
135	0.4279217928
136	0.4272409048
137	0.4259831956
138	0.4241879497
139	0.4233509111
140	0.4226353945
141	0.4220101813
142	0.42084337
143	0.4196707915
144	0.4189702448
145	0.4183636132
146	0.417747045
147	0.4163769991
148	0.4161715725
149	0.4152671433
150	0.414271559
151	0.413499492
152	0.412899893
153	0.4122004211
154	0.4114943322
155	0.4107447647
156	0.409757197
157	0.4089214653
158	0.4076928046
159	0.4067738365
160	0.4061457404
161	0.4051104517
162	0.4038186588
163	0.4029961816
164	0.4020947169
165	0.4009775234
166	0.4000452828
167	0.3989020659
168	0.3977965247
169	0.3968170153
170	0.3966056342
171	0.3959762177
172	0.3951452898
173	0.394261571
174	0.392808069
175	0.3922858953
176	0.3915265901
177	0.3906264435
178	0.3897468682
179	0.3887365143
180	0.3877839453
181	0.3871705776
182	0.3859770005
183	0.3853359061
184	0.3837484726
185	0.3826131967
186	0.381304634
187	0.380024296
188	0.3796383638
189	0.37797714
190	0.3765473805
191	0.3757867265
192	0.3749279059
193	0.3739046675
194	0.3731919693
195	0.3725464357
196	0.3718613719
197	0.3712948183
198	0.370050863
199	0.3688193382
200	0.3677797675
201	0.3669784153
202	0.366342469
203	0.3659462927
204	0.3643029295
205	0.3632954451
206	0.3626526365
207	0.3620945067
208	0.3612551853
209	0.3609060696
210	0.3599400599
211	0.3595573935
212	0.358360008
213	0.3575745989
214	0.3572359106
215	0.3566520744
