iter	Passed	Remaining
0	344	495806
1	559	402607
2	818	391898
3	1177	422828
4	1427	409700
5	1636	391214
6	1950	399328
7	2241	401293
8	2435	387184
9	2749	393146
10	2959	384449
11	3174	377747
12	3498	384057
13	3712	378168
14	4095	389048
15	4311	383698
16	4490	375891
17	4736	374222
18	5055	378070
19	5358	380434
20	5636	380865
21	5906	380672
22	6146	378702
23	6425	379129
24	6634	375497
25	7078	384988
26	7391	386828
27	7662	386429
28	7903	384555
29	8147	382923
30	8552	388743
31	8884	390902
32	9145	389912
33	9374	387663
34	9644	387142
35	9939	387654
36	10185	386236
37	10430	384824
38	10749	386168
39	11105	388705
40	11372	388066
41	11711	389832
42	11991	389593
43	12228	387989
44	12522	388209
45	12800	387904
46	13143	389551
47	13377	387944
48	13717	389406
49	13919	386948
50	14180	386200
51	14457	385916
52	14710	384976
53	14960	383974
54	15234	383631
55	15556	384471
56	15824	383957
57	16169	385288
58	16468	385475
59	16791	386213
60	17083	386203
61	17340	385413
62	17587	384417
63	17830	383348
4	17572	371719
65	17857	371765
66	18184	372655
	18318	369599
68	18637	370313
	18283	357825
70	18598	358615
717	355628
72	18976	355345
